Reference,Location,ID,Volume,H/L,F-Angle,,,,,,,
D'Agostino et al. 2009. Field and laboratory investigations of runout distances of debris flows in the Dolomites (Easter Italian Alps). Geomorphology 115:295-304,Italian Dolomites ,Basin 6,"2,100",0.509333333,27,,,,,,,
"Rapp, A., & Nyberg, R. (1981). Alpine Debris Flows in Northern Scandinavia. Morphology and Dating by Lichenometry. Geografiska Annaler. Series A, Physical Geography, 63(3/4), 183–196. https://doi.org/10.2307/520831",Sweden,Nissuntjarro,"10,000",0.356521739,20,,,,,,,
"Fannin et al., 2015. Debris flow behaviour and travel distance: Col du Sabot, France. Environmental Geotechnics ",France ,Col du Sabot,200,0.5,27,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,d016,"1,230",0.379310345,21,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,d024,370,0.467213115,25,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,d025,"1,500",0.416666667,23,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,d033,"9,300",0.2592,15,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,d063,"11,000",0.419928826,23,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,d073,"3,200",0.551136364,29,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,d086,150,0.674698795,34,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,d091,300,0.530120482,28,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,d092,"1,500",0.548780488,29,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,D094,60,0.487804878,26,,,,,,,
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadian Geotechnical Journal 33(2)",Europe ,D098,"1,200",0.341463415,19,,,,,,,
"Chiarlet et al., 2007.  Recent debris flow occurrences associated with glaciers in the Alps. Global and Planetary Change, 2007, Vol. 56, p. 123-136.",European Alps,Site 4,100000,0.31,17,,,,,,,
"Chiarlet et al., 2007.  Recent debris flow occurrences associated with glaciers in the Alps. Global and Planetary Change, 2007, Vol. 56, p. 123-136.",European Alps,Site 7,30000,0.31,17,,,,,,,
"Chiarlet et al., 2007.  Recent debris flow occurrences associated with glaciers in the Alps. Global and Planetary Change, 2007, Vol. 56, p. 123-136.",European Alps,Site 9,10000,0.36,20,,,,,,,
"Chiarlet et al., 2007.  Recent debris flow occurrences associated with glaciers in the Alps. Global and Planetary Change, 2007, Vol. 56, p. 123-136.",European Alps,Site 15,40000,0.42,23,,,,,,,
"Chiarlet et al., 2007.  Recent debris flow occurrences associated with glaciers in the Alps. Global and Planetary Change, 2007, Vol. 56, p. 123-136.",European Alps,Site 16,25000,0.2,11,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
